"Id";"Name";"CategoryName";"Value"
1691401;"MONTREAL rattan 5 pozíciós karosszék";"Kerti bútorok";12502
1691501;"MONTREAL rattan 5 pozíciós karosszék";"Kerti bútorok";12502
1691601;"RIO PATIO rattan balkon szett";"Kerti bútorok";38989
1691701;"ROMA több pozíciós napozóágy";"Kerti bútorok";14272
1691801;"CYLINDER PLANTER virágtartó, henger, mûrattan (kicsi)";"Kerti bútorok";2997
1692001;"SMALL PLANTER virágtartó, mûrattan (kicsi)";"Kerti bútorok";3331
1692101;"TISARA magastámlás karosszék";"Kerti bútorok";7118
1692201;"TISARA magastámlás karosszék";"Kerti bútorok";7118
1692301;"VENETIA magastámlás karosszék";"Kerti bútorok";2972
1692401;"WELLINGTON ovális étkezõ asztal";"Kerti bútorok";24681
1692501;"EBÉDLÕKÉSZLET FEHÉR 18 RÉSZES - QUADRATO";"Edények,Evõeszközök, Poharak";21496
1692601;"KOVÁCSOLT PENGÉJÛ KÉS SZETT TARTÓVAL 6 RÉSZES - TITANIUM";"Kések";12760
1692701;"KOVÁCSOLT PENGÉJÛ KÉS SZETT TARTÓVAL 6 RÉSZES - GRANITE";"Kések";11849
1692801;"KÉS SZETT TARTÓVAL 6 RÉSZES - MAGNAT";"Kések";12598
1692901;"EVÕESZKÖZKÉSZLET 24 RÉSZES - WAVE";"Edények,Evõeszközök, Poharak";5828
1693401;"ROZSDAMENTES TERMOSZ 1L - MAGNUM";"Edények,Evõeszközök, Poharak";2262
1693501;"TERMOSZ 0,5L 4 SZÍNBEN - POCISK";"Edények,Evõeszközök, Poharak";1562
1693601;"TERMOSZ 0,75L 4 SZÍNBEN - POCISK";"Edények,Evõeszközök, Poharak";1976
1693701;"TERMOSZ 1L 4 SZÍNBEN - POCISK";"Edények,Evõeszközök, Poharak";2457
1693801;"KOTYOGÓS KÁVÉFÕZÕ ROZSDAMENTES ACÉLBÓL 200ML - VELLA";"Kávéfõzõ, kávédaráló";2340
1693901;"KOTYOGÓS KÁVÉFÕZÕ ROZSDAMENTES ACÉLBÓL 300ML - VELLA";"Kávéfõzõ, kávédaráló";2704
1694001;"KOTYOGÓS KÁVÉFÕZÕ ROZSDAMENTES ACÉLBÓL 450ML - VELLA";"Kávéfõzõ, kávédaráló";3294
